event_id,timestamp,threat_vector,actor_id,actor_role,target_resource,action_executed,associated_ticket_id,execution_time_delta,data_volume_kb,temporal_hour,is_anomaly
36843d28-1643-4d2f-146b-10a2a2c0492f,2025-02-02T21:44:49,NONE,USR-8060,qa_engineer,notification-service,GET /api/v2/settlements/pending,NULL,296.615,53.66,21,0
3bed460d-ed52-461e-241e-026bfff91c7f,2025-04-20T06:59:09,NONE,USR-1227,data_engineer,compliance-db,MERGE PR #338 feature/rate-limiter,INC-728224,481.124,68.09,6,0
c880823c-5729-4c80-a480-355ff8ac02c6,2025-04-15T19:25:33,NONE,USR-1137,support_engineer,fraud-detection-engine,POST /api/v2/kyc/verify,INC-408645,247.809,58.81,19,0
be2ccfd7-d003-4b6e-c305-640c9f7bcd62,2025-11-20T21:26:53,NONE,USR-3309,support_engineer,settlement-engine,RUN test-suite:integration,INC-265800,435.662,159.76,21,0
2c35342d-9fb1-4fac-6ae4-d21c9272975f,2025-06-23T17:59:59,NONE,USR-5938,network_engineer,compliance-db,DEPLOY application-service v2.1.3,NULL,308.559,150.57,17,0
260ceb40-df4c-4f9c-0435-e8ec094724cf,2025-11-23T18:17:13,NONE,USR-9388,support_engineer,payment-gateway,GET /api/v2/audit/logs,INC-424699,316.957,121.36,18,0
5dd67f1e-9fe6-4d7a-85fc-14d302d3257e,2025-10-02T05:18:47,NONE,USR-9836,network_engineer,customer-portal,POST /api/v2/kyc/verify,INC-960356,589.079,59.21,5,0
b12071ec-8d19-4b73-5255-f98001db497e,2025-01-22T19:33:22,NONE,USR-6285,compliance_officer,settlement-engine,INSERT INTO audit_log VALUES (?),INC-290769,577.223,1.0,19,0
ceb3e733-3691-4702-65f9-c1216939dc67,2025-04-26T04:05:55,NONE,USR-5109,data_engineer,config-service,BUILD pipeline:app-service #412,INC-449205,431.516,75.46,4,0
175a9364-f762-4500-d100-0d23519de377,2025-10-20T21:01:48,NONE,USR-7850,business_analyst,transaction-db,GET /api/v2/customers/{id},INC-309004,271.794,83.92,21,0
855bb27b-5259-4f39-e70d-7839acd2811c,2025-07-29T00:06:38,NONE,USR-2418,business_analyst,batch-scheduler,POST /api/v2/transactions,INC-645970,655.77,58.7,0,0
